# time,roll_L,pitch_L,yaw_L,roll_R,pitch_R,yaw_R
132191.000000,161.160681,3.089367,-107.795801,-172.187901,1.753468,-53.161748
132192.000000,3.860181,-3.250139,-75.520905,17.039932,-14.424666,-131.418063
132193.000000,-157.468446,-9.229574,-117.518208,-142.465112,19.498169,-70.825162
132194.000000,34.077655,8.126953,-79.029816,46.460799,-28.795329,-122.988355
132195.000000,166.976900,4.185582,-119.618369,-171.545739,1.696060,-65.828669
132196.000000,-8.337665,-7.837354,-77.129258,21.160836,-16.935338,-130.780689
132197.000000,138.967455,8.117472,-102.303565,-168.689633,5.756186,-51.695667
132198.000000,-30.533021,-10.816045,-78.976562,23.580664,-21.602018,-129.955559
132199.000000,115.258175,9.661633,-94.303951,-173.916692,0.782256,-46.261439
132200.000000,-61.534273,-15.518807,-84.115374,7.165363,-7.766096,-133.601921
132201.000000,114.541964,15.633225,-101.679491,175.148288,-7.240598,-57.520819
132202.000000,-112.502316,-18.540577,-102.377418,-40.566082,25.524534,-120.856574
132203.000000,-25.459507,-6.488578,-77.925148,60.813214,-46.740000,-108.840573
132204.000000,-9.058743,1.232970,-76.250565,173.470228,-26.978671,0.278090
132205.000000,7.220768,-2.232571,-76.864153,-172.877399,71.346428,46.334487
132206.000000,148.614671,-42.415710,11.276470,-37.586622,-60.161646,-160.598866
132207.000000,-50.317322,48.200779,-46.625319,141.088189,65.267139,116.765918
132208.000000,43.563536,-49.468043,-60.700579,-13.559956,-26.930000,-137.514186
132209.000000,-162.843618,12.479673,49.783414,-175.214288,3.358631,105.890492
132210.000000,-13.342626,38.486435,-68.918703,21.508809,25.951351,-134.482867
132211.000000,-178.151344,-36.962520,76.672251,-169.231923,-2.394097,132.106738
132212.000000,1.501343,0.854816,-77.357530,-15.473207,-18.479857,-136.580019
132213.000000,-154.948182,36.073619,55.775352,149.955012,44.942778,128.498072
132214.000000,18.913461,-33.430342,-74.075130,-18.127761,-29.682758,-139.055515
132215.000000,-179.846039,-18.845642,53.603990,-166.944084,-11.713337,109.469089
132216.000000,-157.929273,31.800194,56.105609,151.855436,44.204240,125.421670
132217.000000,-34.183142,63.503060,-51.441767,22.610809,25.950118,-133.920766
132218.000000,5.723701,-30.283301,-78.509821,-77.407400,-41.693561,-171.854716
132219.000000,171.673588,-29.708777,44.536304,-157.342300,-29.536984,106.733877
132220.000000,-68.018228,-14.272280,-87.405496,22.587235,-19.247975,-127.259507
132221.000000,34.070838,45.478606,-87.113219,-49.026865,-17.066126,-130.237211
132222.000000,179.676941,-64.941827,99.538817,57.040013,32.390420,-144.758454
132223.000000,-172.867096,47.549535,89.011227,-67.557013,-51.965222,-157.143386
132224.000000,8.399147,-0.249301,-76.470079,153.204560,27.378577,139.001648
132225.000000,-126.971355,81.785346,45.646299,-122.258454,-49.770267,159.485585
